product_id,product_name,main_category,sub_category,actual_price,discounted_price,discount_percentage,rating,rating_count
B09GFN8WZL,"portronics ruffpad 8.5m multicolor lcd writing pad with screen 21.5cm (8.5-inch) for drawing, playing, handwriting gifts for kids & adults, india's first notepad to save and share your child's first creatives via ruffpad app on your smartphone(black)",computers&accessories,accessories&peripherals,11.42,4.34,62.0,4.1,1779.0
B09GFPN6TP,"redmi 9a sport (coral green, 3gb ram, 32gb storage) | 2ghz octa-core helio g25 processor | 5000 mah battery",electronics,mobiles&accessories,108.6,85.79,21.0,4.1,313832.0
B09GFPVD9Y,"redmi 9 activ (carbon black, 4gb ram, 64gb storage) | octa-core helio g35 | 5000 mah battery",electronics,mobiles&accessories,125.74,96.82,23.0,4.1,313836.0
B09GFWJDY1,"zebronics zeb-evolve wireless in ear neckband earphone with supporting bluetooth v5.0, voice assistant, rapid charge, call function & magnetic earpiece, with mic (metallic blue)",electronics,"headphones,earbuds&accessories",17.14,5.66,67.0,3.6,9169.0
B09GP6FBZT,opentech® military-grade tempered glass screen protector compatible for iphone 13/13 pro / 14 with edge to edge coverage and easy installation kit (6.1 inches),electronics,mobiles&accessories,11.42,3.43,70.0,4.3,8891.0
B09GYBZPHF,"lifelong llmg93 500 watt duos mixer grinder, 2 stainless steel jar (liquidizing and chutney jar)| abs body, stainless steel blades, 3 speed options with whip (1 year warranty, black)",home&kitchen,kitchen&homeappliances,28.57,13.14,54.0,3.8,4383.0
B09H34V36W,"inalsa electric fan heater hotty - 2000 watts variable temperature control cool/warm/hot air selector | over heat protection | isi certification, white",home&kitchen,"heating,cooling&airquality",28.52,15.4,46.0,3.8,166.0
B09H39KTTB,remote compatible for samsung led/lcd remote control works with samsung led/lcd tv by trend trail,electronics,"hometheater,tv&video",5.7,2.45,57.0,3.7,246.0
B09H3BXWTK,"venus digital kitchen weighing scale & food weight machine for health, fitness, home baking & cooking scale, 2 year warranty & battery included (weighing scale without bowl) capacity 10 kg, 1 gm",home&kitchen,kitchen&homeappliances,32.0,6.72,79.0,3.9,578.0
B09H7JDJCW,"philips drip coffee maker hd7432/20, 0.6 l, ideal for 2-7 cups, black, medium",home&kitchen,kitchen&homeappliances,41.1,34.11,17.0,4.0,178.0
B09HCH3JZG,"bestor ® 8k hdmi 2.1 cable 48gbps 9.80ft/ultra high speed hdmi braided cord for roku tv/ps5/hdtv/blu-ray projector, laptop, television, personal computer, xbox, ps4, ps5, ps4 pro (1 m, grey)",electronics,"hometheater,tv&video",21.71,8.03,63.0,4.4,390.0
B09HK9JH4F,"smashtronics® - case for firetv remote, fire stick remote cover case, silicone cover for tv firestick 4k/tv 2nd gen(3rd gen) remote control - light weight/anti slip/shockproof (black)",electronics,"hometheater,tv&video",4.56,2.28,50.0,4.2,1335.0
B09HN7LD5L,"prolegend® pl-t002 universal tv stand table top for most 22 to 65 inch lcd flat screen tv, vesa up to 800 by 400mm",electronics,"hometheater,tv&video",51.45,21.09,59.0,4.0,184.0
B09HQSV46W,mi 100 cm (40 inches) horizon edition full hd android led tv 4a | l40m6-ei (black),electronics,"hometheater,tv&video",342.96,250.36,27.0,4.2,32840.0
B09HS1NDRQ,"prettykrafts laundry square shape basket bag/foldable/multipurpose/carry handles/slanting lid for home, cloth storage,(single) jute grey",home&kitchen,homestorage&organization,9.13,4.48,51.0,3.8,287.0
B09HSKYMB3,"mi redmi 9i sport (carbon black, 64 gb) (4 gb ram)",electronics,mobiles&accessories,114.31,90.31,21.0,4.3,1376.0
B09HV71RL1,"wayona type c to lightning mfi certified 20w fast charging nylon braided usb c cable for iphone 14 pro, 14 pro max, 14, 14 plus, 13, 13 pro, 13 pro max, 13 mini, 12, 12 pro, 11, 11 pro max, iphone 12 mini (2m, black)",computers&accessories,accessories&peripherals,17.14,8.23,52.0,4.1,1045.0
B09J2MM5C6,amozo ultra hybrid camera and drop protection back cover case for iphone 13 (tpu + polycarbonate | crystal transparent),electronics,mobiles&accessories,17.14,3.26,81.0,4.2,2646.0
